* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Flat @ 0, EQ Flat @ 0
* Dated: Aug 6, 2023 12:37:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of EQ Flat @ 0, EQ Flat @ 0
* Measurement: RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.963
20.299999	1.952
20.600000	1.936
20.900000	1.919
21.200001	1.900
21.400000	1.888
21.799999	1.862
22.000000	1.849
22.400000	1.823
22.700001	1.804
23.000000	1.785
23.299999	1.766
23.600000	1.747
24.000000	1.723
24.299999	1.705
24.700001	1.682
25.000000	1.665
25.400000	1.643
25.799999	1.621
26.200001	1.599
26.500000	1.584
26.900000	1.563
27.200001	1.547
27.600000	1.527
28.000000	1.507
28.500000	1.483
29.000000	1.459
29.500000	1.436
30.000000	1.413
30.400000	1.395
30.700001	1.382
31.100000	1.364
31.500000	1.347
32.000000	1.326
32.500000	1.306
33.000000	1.286
33.500000	1.266
34.000000	1.247
34.500000	1.228
35.000000	1.210
35.500000	1.193
36.000000	1.175
36.500000	1.158
37.000000	1.142
37.500000	1.126
38.200001	1.104
38.700001	1.089
39.500000	1.066
40.000000	1.052
40.599998	1.036
41.200001	1.020
41.799999	1.005
42.500000	0.988
43.099998	0.974
43.700001	0.961
44.400002	0.945
45.000000	0.933
45.500000	0.922
46.200001	0.909
46.799999	0.897
47.500000	0.884
48.200001	0.872
48.700001	0.863
49.400002	0.852
50.000000	0.842
50.799999	0.830
51.500000	0.820
52.200001	0.810
53.000000	0.799
53.799999	0.788
54.500000	0.780
55.200001	0.771
56.000000	0.762
57.000000	0.751
58.000000	0.740
59.000000	0.730
60.000000	0.720
60.799999	0.713
61.500000	0.707
62.200001	0.701
63.000000	0.694
64.000000	0.686
65.000000	0.678
66.000000	0.671
67.000000	0.664
68.000000	0.657
69.000000	0.650
70.000000	0.644
71.000000	0.638
72.000000	0.631
73.000000	0.626
74.000000	0.620
75.000000	0.615
76.199997	0.608
77.500000	0.601
78.800003	0.595
80.000000	0.589
81.199997	0.583
82.500000	0.577
83.800003	0.571
85.000000	0.566
86.199997	0.561
87.500000	0.555
88.500000	0.551
90.000000	0.545
91.199997	0.540
92.500000	0.534
93.800003	0.529
95.000000	0.524
96.199997	0.519
97.500000	0.514
98.800003	0.509
100.000000	0.504
101.500000	0.498
103.000000	0.492
104.400002	0.487
106.000000	0.480
107.500000	0.475
109.000000	0.469
110.599998	0.462
112.000000	0.457
113.800003	0.450
115.000000	0.445
117.199997	0.436
118.000000	0.433
120.599998	0.423
122.000000	0.417
124.099998	0.409
125.000000	0.405
126.500000	0.399
128.000000	0.393
131.500000	0.379
132.000000	0.377
134.000000	0.369
136.000000	0.361
138.000000	0.353
140.000000	0.345
143.000000	0.333
145.000000	0.325
147.500000	0.316
150.000000	0.306
152.500000	0.297
155.000000	0.287
157.500000	0.278
160.000000	0.269
162.500000	0.260
165.000000	0.251
167.500000	0.243
170.000000	0.234
172.500000	0.226
175.000000	0.218
177.500000	0.210
180.000000	0.203
182.500000	0.195
185.000000	0.188
187.500000	0.181
190.000000	0.174
192.500000	0.168
195.000000	0.161
197.500000	0.155
200.000000	0.149
203.000000	0.142
206.000000	0.135
209.000000	0.129
212.000000	0.123
214.000000	0.119
218.000000	0.111
220.000000	0.107
224.000000	0.100
227.000000	0.095
230.000000	0.090
233.000000	0.086
236.000000	0.081
240.000000	0.076
243.000000	0.072
247.000000	0.067
250.000000	0.064
254.000000	0.059
258.000000	0.055
262.000000	0.051
265.000000	0.049
269.000000	0.046
272.000000	0.043
276.000000	0.041
280.000000	0.038
285.000000	0.035
290.000000	0.033
295.000000	0.031
300.000000	0.029
304.000000	0.028
307.000000	0.027
311.000000	0.027
315.000000	0.026
320.000000	0.026
325.000000	0.025
330.000000	0.025
335.000000	0.025
340.000000	0.026
345.000000	0.026
350.000000	0.027
355.000000	0.028
360.000000	0.029
365.000000	0.031
370.000000	0.032
375.000000	0.033
382.000000	0.036
387.000000	0.037
395.000000	0.040
400.000000	0.042
406.000000	0.045
412.000000	0.047
418.000000	0.050
425.000000	0.053
431.000000	0.056
437.000000	0.059
444.000000	0.063
450.000000	0.066
455.000000	0.068
462.000000	0.072
468.000000	0.076
475.000000	0.080
482.000000	0.084
487.000000	0.087
494.000000	0.091
500.000000	0.095
508.000000	0.100
515.000000	0.105
522.000000	0.110
530.000000	0.115
538.000000	0.121
545.000000	0.126
552.000000	0.132
560.000000	0.138
570.000000	0.146
580.000000	0.155
590.000000	0.164
600.000000	0.173
608.000000	0.181
615.000000	0.188
622.000000	0.195
630.000000	0.203
640.000000	0.215
650.000000	0.226
660.000000	0.238
670.000000	0.251
680.000000	0.264
690.000000	0.278
700.000000	0.293
710.000000	0.308
720.000000	0.325
730.000000	0.342
740.000000	0.359
750.000000	0.378
762.000000	0.402
775.000000	0.429
788.000000	0.457
800.000000	0.485
812.000000	0.514
825.000000	0.547
838.000000	0.581
850.000000	0.614
862.000000	0.647
875.000000	0.683
885.000000	0.711
900.000000	0.753
912.000000	0.784
925.000000	0.817
938.000000	0.846
950.000000	0.870
962.000000	0.890
975.000000	0.907
988.000000	0.918
1000.000000	0.922
1015.000000	0.920
1030.000000	0.910
1044.000000	0.892
1060.000000	0.863
1075.000000	0.829
1090.000000	0.788
1106.000000	0.737
1120.000000	0.688
1138.000000	0.620
1150.000000	0.572
1172.000000	0.480
1180.000000	0.445
1206.000000	0.333
1220.000000	0.272
1241.000000	0.185
1250.000000	0.149
1265.000000	0.091
1280.000000	0.036
1315.000000	-0.076
1320.000000	-0.091
1340.000000	-0.144
1360.000000	-0.189
1380.000000	-0.229
1400.000000	-0.263
1430.000000	-0.304
1450.000000	-0.326
1475.000000	-0.349
1500.000000	-0.367
1525.000000	-0.382
1550.000000	-0.394
1575.000000	-0.403
1600.000000	-0.411
1625.000000	-0.417
1650.000000	-0.421
1675.000000	-0.425
1700.000000	-0.427
