* Freq(Hz), SPL(dB)
20.000000, 0.000
25.000000, 0.000
25.799999, 0.005
26.500000, 0.009
27.200001, 0.013
28.000000, 0.017
29.000000, 0.022
30.000000, 0.027
30.700001, 0.032
31.500000, 0.036
32.500000, 0.042
33.500000, 0.047
34.500000, 0.052
35.500000, 0.058
36.500000, 0.063
37.500000, 0.069
38.700001, 0.075
40.000000, 0.081
41.200001, 0.088
42.500000, 0.095
43.700001, 0.101
45.000000, 0.108
46.200001, 0.114
47.500000, 0.121
48.700001, 0.127
50.000000, 0.133
51.500000, 0.140
53.000000, 0.147
54.500000, 0.154
56.000000, 0.160
58.000000, 0.169
60.000000, 0.178
61.500000, 0.185
63.000000, 0.192
65.000000, 0.200
67.000000, 0.208
69.000000, 0.216
71.000000, 0.225
73.000000, 0.234
75.000000, 0.242
77.500000, 0.251
80.000000, 0.260
82.500000, 0.270
85.000000, 0.280
87.500000, 0.290
90.000000, 0.300
92.500000, 0.310
95.000000, 0.320
97.500000, 0.331
100.000000, 0.346
103.000000, 0.378
106.000000, 0.416
109.000000, 0.454
112.000000, 0.491
115.000000, 0.526
118.000000, 0.560
122.000000, 0.604
125.000000, 0.636
128.000000, 0.665
132.000000, 0.703
136.000000, 0.739
140.000000, 0.774
145.000000, 0.816
150.000000, 0.857
155.000000, 0.897
160.000000, 0.937
165.000000, 0.977
170.000000, 1.016
175.000000, 1.055
180.000000, 1.093
185.000000, 1.130
190.000000, 1.166
195.000000, 1.202
200.000000, 1.237
206.000000, 1.278
212.000000, 1.319
218.000000, 1.358
224.000000, 1.395
230.000000, 1.431
236.000000, 1.464
243.000000, 1.501
250.000000, 1.533
258.000000, 1.563
265.000000, 1.585
272.000000, 1.606
280.000000, 1.630
290.000000, 1.659
300.000000, 1.689
307.000000, 1.711
315.000000, 1.739
325.000000, 1.780
335.000000, 1.824
345.000000, 1.870
355.000000, 1.917
365.000000, 1.965
375.000000, 2.014
387.000000, 2.072
400.000000, 2.135
412.000000, 2.190
425.000000, 2.250
437.000000, 2.307
450.000000, 2.370
462.000000, 2.431
475.000000, 2.499
487.000000, 2.565
500.000000, 2.643
515.000000, 2.744
530.000000, 2.850
545.000000, 2.957
560.000000, 3.063
580.000000, 3.204
600.000000, 3.341
615.000000, 3.440
630.000000, 3.533
650.000000, 3.648
670.000000, 3.756
690.000000, 3.857
710.000000, 3.954
730.000000, 4.046
750.000000, 4.134
775.000000, 4.237
800.000000, 4.330
825.000000, 4.406
850.000000, 4.475
875.000000, 4.544
900.000000, 4.614
925.000000, 4.687
950.000000, 4.766
975.000000, 4.852
1000.000000, 4.949
1030.000000, 5.088
1060.000000, 5.242
1090.000000, 5.403
1120.000000, 5.571
1150.000000, 5.743
1180.000000, 5.919
1220.000000, 6.158
1250.000000, 6.334
1280.000000, 6.504
1320.000000, 6.728
1360.000000, 6.954
1400.000000, 7.186
1450.000000, 7.485
1500.000000, 7.794
1550.000000, 8.117
1600.000000, 8.465
1650.000000, 8.849
1700.000000, 9.254
1750.000000, 9.668
1800.000000, 10.087
1850.000000, 10.507
1900.000000, 10.927
1950.000000, 11.348
2000.000000, 11.780
2060.000000, 12.321
2120.000000, 12.856
2180.000000, 13.362
2240.000000, 13.831
2300.000000, 14.257
2360.000000, 14.636
2430.000000, 15.006
2500.000000, 15.267
2580.000000, 15.397
2650.000000, 15.417
2720.000000, 15.385
2800.000000, 15.300
2900.000000, 15.135
3000.000000, 14.920
3070.000000, 14.749
3150.000000, 14.543
3250.000000, 14.285
3350.000000, 14.022
3450.000000, 13.751
3550.000000, 13.475
3650.000000, 13.198
3750.000000, 12.920
3870.000000, 12.592
4000.000000, 12.247
4120.000000, 11.945
4250.000000, 11.634
4370.000000, 11.360
4500.000000, 11.078
4620.000000, 10.832
4750.000000, 10.581
4870.000000, 10.362
5000.000000, 10.132
5150.000000, 9.870
5300.000000, 9.624
5450.000000, 9.408
5600.000000, 9.224
5800.000000, 9.034
6000.000000, 8.911
6150.000000, 8.871
6300.000000, 8.896
6500.000000, 9.052
6700.000000, 9.288
6900.000000, 9.564
7100.000000, 9.867
7300.000000, 10.187
7500.000000, 10.516
7750.000000, 10.910
8000.000000, 11.139
8250.000000, 10.994
8500.000000, 10.631
8750.000000, 10.180
9000.000000, 9.678
9250.000000, 9.142
9500.000000, 8.585
9750.000000, 8.017
10000.000000, 7.506
10300.000000, 7.051
10600.000000, 6.660
10900.000000, 6.284
11200.000000, 5.917
11500.000000, 5.559
11800.000000, 5.211
12200.000000, 4.763
12500.000000, 4.441
12800.000000, 4.133
13200.000000, 3.740
13600.000000, 3.362
14000.000000, 2.998
14500.000000, 2.558
15000.000000, 2.136
15500.000000, 1.736
16000.000000, 1.398
16500.000000, 1.168
17000.000000, 1.017
17500.000000, 0.907
18000.000000, 0.822
18500.000000, 0.753
19000.000000, 0.748
19500.000000, 0.748
20000.000000, 0.748
